Country,ISO3Code,Mortality_Status_Binary,ANC4,SBA,Births_2022
Afghanistan,AFG,off-track,27.6,61.8,1162.402
Anguilla,AIA,on-track,,100.0,0.047
Albania,ALB,on-track,77.8,100.0,-3.068
United Arab Emirates,ARE,on-track,,99.9,75.734
Argentina,ARG,on-track,90.4,98.8,236.876
Antigua and Barbuda,ATG,on-track,,99.0,0.553
Australia,AUS,on-track,,98.7,122.307
Austria,AUT,on-track,,98.1,-0.191
Azerbaijan,AZE,on-track,,99.9,56.937
Benin,BEN,off-track,52.6,80.8,357.203
Botswana,BWA,off-track,,99.8,42.423
Burkina Faso,BFA,off-track,72.1,95.8,596.507
Bangladesh,BGD,off-track,38.3,69.8,2087.541
Bulgaria,BGR,on-track,,94.5,-98.534
Bahrain,BHR,on-track,,98.2,13.216
Bahamas,BHS,on-track,,99.0,1.671
Bosnia and Herzegovina,BIH,on-track,,99.9,-24.534
Belarus,BLR,on-track,99.9,99.9,-60.206
Belize,BLZ,on-track,,94.6,4.661
Bolivia (Plurinational State of),BOL,on-track,,71.5,153.283
Brazil,BRA,on-track,92.3,98.2,971.034
Barbados,BRB,on-track,,98.4,0.47
Brunei Darussalam,BRN,on-track,,99.6,3.62
Bhutan,BTN,on-track,,98.9,4.676
Burundi,BDI,off-track,,75.2,345.407
Cameroon,CMR,off-track,64.9,69.0,729.448
Canada,CAN,on-track,,97.6,78.376
Chile,CHL,on-track,,99.8,89.456
China,CHN,on-track,92.9,,235.284
Central African Republic,CAF,off-track,41.4,40.3,175.153
Chad,TCD,off-track,,47.2,550.105
Comoros,COM,off-track,64.3,97.2,17.056
Colombia,COL,on-track,,97.5,338.317
Côte d'Ivoire,CIV,off-track,56.3,84.0,694.104
Cabo Verde,CPV,on-track,85.6,97.3,6.548
Costa Rica,CRI,on-track,94.1,98.8,23.683
Cuba,CUB,on-track,79.3,99.9,-10.792
Cyprus,CYP,on-track,,99.9,3.811
Germany,DEU,on-track,,96.3,-268.471
Democratic Republic of the Congo,COD,off-track,42.9,85.2,3207.705
Dominica,DMA,off-track,,100.0,0.317
Denmark,DNK,on-track,,96.4,8.568
Dominican Republic,DOM,off-track,92.6,99.2,135.404
Algeria,DZA,on-track,69.8,98.8,729.261
Ecuador,ECU,on-track,,96.3,211.316
Egypt,EGY,on-track,89.9,97.1,1744.592
Spain,ESP,on-track,,99.9,-75.154
Estonia,EST,on-track,,99.1,-2.084
Ethiopia,ETH,off-track,43.0,49.8,3126.668
Finland,FIN,on-track,,99.5,-9.035
France,FRA,on-track,,97.3,65.574
Georgia,GEO,on-track,85.2,99.7,-7.865
Eswatini,SWZ,off-track,73.5,93.4,14.164
Fiji,FJI,off-track,88.7,99.8,10.15
Gabon,GAB,off-track,77.8,95.2,46.569
Gambia,GMB,off-track,78.5,83.8,69.208
Ghana,GHA,off-track,87.8,78.9,652.722
Greece,GRC,on-track,,99.9,-54.288
Grenada,GRD,on-track,,100.0,0.963
Guyana,GUY,off-track,84.7,97.6,8.216
Honduras,HND,on-track,88.3,94.1,161.194
Croatia,HRV,on-track,96.5,99.9,-19.618
Guinea,GIN,off-track,58.3,55.3,332.496
Indonesia,IDN,on-track,,94.7,1820.09
India,IND,off-track,58.4,89.4,10194.012
Ireland,IRL,on-track,,99.6,24.44
Iraq,IRQ,on-track,67.9,95.6,1005.918
Iceland,ISL,on-track,,97.4,2.06
Italy,ITA,on-track,,99.4,-222.349
Jamaica,JAM,on-track,,99.8,7.773
Jordan,JOR,on-track,91.5,99.7,200.547
Japan,JPN,on-track,,99.8,-753.228
Kazakhstan,KAZ,on-track,,99.9,204.996
Guinea-Bissau,GNB,off-track,80.7,53.8,46.37
Kyrgyzstan,KGZ,on-track,89.0,100.0,115.096
