Country,ISO3Code,Mortality_Status_Binary,ANC4,SBA,Births_2022,ANC4_Data_Available,SBA_Data_Available,Births_Data_Available,ANC4_Category,SBA_Category
Afghanistan,AFG,off-track,27.6,61.8,1162.402,True,True,True,Low (<50%),Medium (50-79%)
Anguilla,AIA,on-track,,100.0,0.047,False,True,True,No Data,High (≥80%)
Albania,ALB,on-track,77.8,100.0,-3.068,True,True,True,Medium (50-79%),High (≥80%)
United Arab Emirates,ARE,on-track,,99.9,75.734,False,True,True,No Data,High (≥80%)
Argentina,ARG,on-track,90.4,98.8,236.876,True,True,True,High (≥80%),High (≥80%)
Antigua and Barbuda,ATG,on-track,,99.0,0.553,False,True,True,No Data,High (≥80%)
Australia,AUS,on-track,,98.7,122.307,False,True,True,No Data,High (≥80%)
Austria,AUT,on-track,,98.1,-0.191,False,True,True,No Data,High (≥80%)
Azerbaijan,AZE,on-track,,99.9,56.937,False,True,True,No Data,High (≥80%)
Benin,BEN,off-track,52.6,80.8,357.203,True,True,True,Medium (50-79%),High (≥80%)
Botswana,BWA,off-track,,99.8,42.423,False,True,True,No Data,High (≥80%)
Burkina Faso,BFA,off-track,72.1,95.8,596.507,True,True,True,Medium (50-79%),High (≥80%)
Bangladesh,BGD,off-track,38.3,69.8,2087.541,True,True,True,Low (<50%),Medium (50-79%)
Bulgaria,BGR,on-track,,94.5,-98.534,False,True,True,No Data,High (≥80%)
Bahrain,BHR,on-track,,98.2,13.216,False,True,True,No Data,High (≥80%)
Bahamas,BHS,on-track,,99.0,1.671,False,True,True,No Data,High (≥80%)
Bosnia and Herzegovina,BIH,on-track,,99.9,-24.534,False,True,True,No Data,High (≥80%)
Belarus,BLR,on-track,99.9,99.9,-60.206,True,True,True,High (≥80%),High (≥80%)
Belize,BLZ,on-track,,94.6,4.661,False,True,True,No Data,High (≥80%)
Bolivia (Plurinational State of),BOL,on-track,,71.5,153.283,False,True,True,No Data,Medium (50-79%)
Brazil,BRA,on-track,92.3,98.2,971.034,True,True,True,High (≥80%),High (≥80%)
Barbados,BRB,on-track,,98.4,0.47,False,True,True,No Data,High (≥80%)
Brunei Darussalam,BRN,on-track,,99.6,3.62,False,True,True,No Data,High (≥80%)
Bhutan,BTN,on-track,,98.9,4.676,False,True,True,No Data,High (≥80%)
Burundi,BDI,off-track,,75.2,345.407,False,True,True,No Data,Medium (50-79%)
Cameroon,CMR,off-track,64.9,69.0,729.448,True,True,True,Medium (50-79%),Medium (50-79%)
Canada,CAN,on-track,,97.6,78.376,False,True,True,No Data,High (≥80%)
Chile,CHL,on-track,,99.8,89.456,False,True,True,No Data,High (≥80%)
China,CHN,on-track,92.9,,235.284,True,False,True,High (≥80%),No Data
Central African Republic,CAF,off-track,41.4,40.3,175.153,True,True,True,Low (<50%),Low (<50%)
Chad,TCD,off-track,,47.2,550.105,False,True,True,No Data,Low (<50%)
Comoros,COM,off-track,64.3,97.2,17.056,True,True,True,Medium (50-79%),High (≥80%)
Colombia,COL,on-track,,97.5,338.317,False,True,True,No Data,High (≥80%)
Côte d'Ivoire,CIV,off-track,56.3,84.0,694.104,True,True,True,Medium (50-79%),High (≥80%)
Cabo Verde,CPV,on-track,85.6,97.3,6.548,True,True,True,High (≥80%),High (≥80%)
Costa Rica,CRI,on-track,94.1,98.8,23.683,True,True,True,High (≥80%),High (≥80%)
Cuba,CUB,on-track,79.3,99.9,-10.792,True,True,True,Medium (50-79%),High (≥80%)
Cyprus,CYP,on-track,,99.9,3.811,False,True,True,No Data,High (≥80%)
Germany,DEU,on-track,,96.3,-268.471,False,True,True,No Data,High (≥80%)
Democratic Republic of the Congo,COD,off-track,42.9,85.2,3207.705,True,True,True,Low (<50%),High (≥80%)
Dominica,DMA,off-track,,100.0,0.317,False,True,True,No Data,High (≥80%)
Denmark,DNK,on-track,,96.4,8.568,False,True,True,No Data,High (≥80%)
Dominican Republic,DOM,off-track,92.6,99.2,135.404,True,True,True,High (≥80%),High (≥80%)
Algeria,DZA,on-track,69.8,98.8,729.261,True,True,True,Medium (50-79%),High (≥80%)
Ecuador,ECU,on-track,,96.3,211.316,False,True,True,No Data,High (≥80%)
Egypt,EGY,on-track,89.9,97.1,1744.592,True,True,True,High (≥80%),High (≥80%)
Spain,ESP,on-track,,99.9,-75.154,False,True,True,No Data,High (≥80%)
Estonia,EST,on-track,,99.1,-2.084,False,True,True,No Data,High (≥80%)
Ethiopia,ETH,off-track,43.0,49.8,3126.668,True,True,True,Low (<50%),Low (<50%)
Finland,FIN,on-track,,99.5,-9.035,False,True,True,No Data,High (≥80%)
France,FRA,on-track,,97.3,65.574,False,True,True,No Data,High (≥80%)
Georgia,GEO,on-track,85.2,99.7,-7.865,True,True,True,High (≥80%),High (≥80%)
Eswatini,SWZ,off-track,73.5,93.4,14.164,True,True,True,Medium (50-79%),High (≥80%)
Fiji,FJI,off-track,88.7,99.8,10.15,True,True,True,High (≥80%),High (≥80%)
Gabon,GAB,off-track,77.8,95.2,46.569,True,True,True,Medium (50-79%),High (≥80%)
Gambia,GMB,off-track,78.5,83.8,69.208,True,True,True,Medium (50-79%),High (≥80%)
Ghana,GHA,off-track,87.8,78.9,652.722,True,True,True,High (≥80%),Medium (50-79%)
Greece,GRC,on-track,,99.9,-54.288,False,True,True,No Data,High (≥80%)
Grenada,GRD,on-track,,100.0,0.963,False,True,True,No Data,High (≥80%)
Guyana,GUY,off-track,84.7,97.6,8.216,True,True,True,High (≥80%),High (≥80%)
Honduras,HND,on-track,88.3,94.1,161.194,True,True,True,High (≥80%),High (≥80%)
Croatia,HRV,on-track,96.5,99.9,-19.618,True,True,True,High (≥80%),High (≥80%)
Guinea,GIN,off-track,58.3,55.3,332.496,True,True,True,Medium (50-79%),Medium (50-79%)
Indonesia,IDN,on-track,,94.7,1820.09,False,True,True,No Data,High (≥80%)
India,IND,off-track,58.4,89.4,10194.012,True,True,True,Medium (50-79%),High (≥80%)
Ireland,IRL,on-track,,99.6,24.44,False,True,True,No Data,High (≥80%)
Iraq,IRQ,on-track,67.9,95.6,1005.918,True,True,True,Medium (50-79%),High (≥80%)
Iceland,ISL,on-track,,97.4,2.06,False,True,True,No Data,High (≥80%)
Italy,ITA,on-track,,99.4,-222.349,False,True,True,No Data,High (≥80%)
Jamaica,JAM,on-track,,99.8,7.773,False,True,True,No Data,High (≥80%)
Jordan,JOR,on-track,91.5,99.7,200.547,True,True,True,High (≥80%),High (≥80%)
Japan,JPN,on-track,,99.8,-753.228,False,True,True,No Data,High (≥80%)
Kazakhstan,KAZ,on-track,,99.9,204.996,False,True,True,No Data,High (≥80%)
Guinea-Bissau,GNB,off-track,80.7,53.8,46.37,True,True,True,High (≥80%),Medium (50-79%)
Kyrgyzstan,KGZ,on-track,89.0,100.0,115.096,True,True,True,High (≥80%),High (≥80%)
Cambodia,KHM,on-track,86.0,98.7,204.467,True,True,True,High (≥80%),High (≥80%)
Saint Kitts and Nevis,KNA,on-track,,100.0,0.083,False,True,True,No Data,High (≥80%)
Republic of Korea,KOR,on-track,,100.0,-56.427,False,True,True,No Data,High (≥80%)
Kuwait,KWT,on-track,,99.2,30.349,False,True,True,No Data,High (≥80%)
Kenya,KEN,off-track,66.0,89.3,1065.212,True,True,True,Medium (50-79%),High (≥80%)
Kiribati,KIR,off-track,67.0,91.9,2.699,True,True,True,Medium (50-79%),High (≥80%)
Saint Lucia,LCA,on-track,,100.0,0.209,False,True,True,No Data,High (≥80%)
Lithuania,LTU,on-track,,100.0,-22.04,False,True,True,No Data,High (≥80%)
Latvia,LVA,on-track,,98.1,-12.182,False,True,True,No Data,High (≥80%)
Morocco,MAR,on-track,53.5,86.6,427.012,True,True,True,Medium (50-79%),High (≥80%)
Republic of Moldova,MDA,on-track,,99.7,-13.566,False,True,True,No Data,High (≥80%)
Lesotho,LSO,off-track,76.6,86.6,27.021,True,True,True,Medium (50-79%),High (≥80%)
Mexico,MEX,on-track,,87.5,1011.377,False,True,True,No Data,High (≥80%)
North Macedonia,MKD,on-track,95.7,100.0,-8.897,True,True,True,High (≥80%),High (≥80%)
Liberia,LBR,off-track,87.3,84.4,118.656,True,True,True,High (≥80%),High (≥80%)
Malta,MLT,on-track,,99.8,0.974,False,True,True,No Data,High (≥80%)
Madagascar,MDG,off-track,59.9,45.8,704.757,True,True,True,Medium (50-79%),Low (<50%)
Montenegro,MNE,on-track,94.2,98.8,-0.382,True,True,True,High (≥80%),High (≥80%)
Mongolia,MNG,on-track,88.5,99.3,50.862,True,True,True,High (≥80%),High (≥80%)
Mali,MLI,off-track,43.3,67.3,729.851,True,True,True,Low (<50%),Medium (50-79%)
Mauritania,MRT,off-track,38.5,70.4,121.936,True,True,True,Low (<50%),Medium (50-79%)
Montserrat,MSR,on-track,,100.0,-0.01,False,True,True,No Data,High (≥80%)
Mauritius,MUS,on-track,,99.7,0.675,False,True,True,No Data,High (≥80%)
Malawi,MWI,off-track,50.5,96.4,524.146,True,True,True,Medium (50-79%),High (≥80%)
Malaysia,MYS,on-track,98.1,99.8,324.652,True,True,True,High (≥80%),High (≥80%)
Mozambique,MOZ,off-track,51.0,,907.197,True,False,True,Medium (50-79%),No Data
